,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2021-03-02,30.780000686645508,30.780000686645508,29.709999084472656,29.770000457763672,29.393936157226562,299000,SPCX,28.592682,28.35719871520996,0.0,1.0367374420166016
2021-03-08,28.950000762939453,29.350000381469727,28.90999984741211,29.100000381469727,28.73240089416504,172300,SPCX,28.03275,28.218969345092773,0.0,0.5134315490722656
2021-03-11,29.350000381469727,29.700000762939453,29.299999237060547,29.68000030517578,29.305072784423828,130100,SPCX,28.221474,28.258464813232422,0.0,1.0466079711914062
2021-03-12,29.700000762939453,29.700000762939453,29.450000762939453,29.6200008392334,29.245832443237305,78100,SPCX,28.352724,28.386821746826172,0.0,0.8590106964111328
2021-03-17,29.100000381469727,29.190000534057617,29.059999465942383,29.149999618530273,28.781766891479492,114900,SPCX,28.53527,28.49543190002441,0.0,0.2863349914550817
2021-03-22,28.920000076293945,29.0,28.8700008392334,28.950000762939453,28.58429527282715,136200,SPCX,28.458412,28.426317214965824,0.0,0.15797805786132457
2021-03-24,28.559999465942383,28.645000457763672,28.360000610351562,28.479999542236328,28.12023162841797,196800,SPCX,28.320606,28.40656852722168,0.28633689880371094,0.0
2021-04-20,28.649999618530273,28.739999771118164,28.56999969482422,28.56999969482422,28.209095001220703,80600,SPCX,27.975193,28.139978408813477,0.0,0.06911659240722656
2021-04-23,28.549999237060547,28.670000076293945,28.549999237060547,28.65999984741211,28.297958374023438,43500,SPCX,27.913437,28.060989379882812,0.0,0.236968994140625
2021-05-13,28.290000915527344,28.450000762939453,28.290000915527344,28.399999618530273,28.041242599487305,158300,SPCX,28.231491,28.13010597229004,0.08886337280273438,0.0
2021-05-24,28.309999465942383,28.405000686645508,28.309999465942383,28.350000381469727,27.99187469482422,39200,SPCX,28.348352,28.791641235351566,0.7997665405273473,0.0
2021-06-08,28.280000686645508,28.68000030517578,28.100000381469727,28.6200008392334,28.258464813232422,132000,SPCX,28.67925,28.836072921752926,0.5776081085205043,0.0
2021-06-11,28.979999542236328,29.209999084472656,28.889999389648438,29.190000534057617,28.821264266967773,59300,SPCX,28.65452,28.752147674560547,0.0,0.06911659240722656
2021-06-16,29.06999969482422,29.149999618530273,29.059999465942383,29.09000015258789,28.72252655029297,19900,SPCX,28.69837,28.663284301757812,0.0,0.05924224853515625
2021-06-22,29.059999465942383,29.15999984741211,29.059999465942383,29.09000015258789,28.72252655029297,46600,SPCX,28.57413,28.673158645629883,0.0,0.04936790466308594
2021-06-24,29.1200008392334,29.15999984741211,29.100000381469727,29.139999389648438,28.771894454956055,35400,SPCX,28.551044,28.60404205322266,0.0,0.16785240173339488
2021-06-29,29.110000610351562,29.280000686645508,29.110000610351562,29.204999923706055,28.83607292175293,44100,SPCX,28.57524,28.574420928955075,0.0,0.2616519927978551
2021-07-02,29.06999969482422,29.149999618530273,29.06999969482422,29.1200008392334,28.752147674560547,27200,SPCX,28.53815,28.515178680419922,0.0,0.236968994140625
2021-07-14,29.049999237060547,29.049999237060547,29.0,29.040000915527344,28.673158645629883,42900,SPCX,28.479729,28.367073059082035,0.0,0.306085586547848
2021-07-16,28.940000534057617,28.993999481201172,28.940000534057617,28.969999313354492,28.604042053222656,53500,SPCX,28.430372,28.347326278686523,0.0,0.2567157745361328
2021-07-21,28.829999923706055,28.950000762939453,28.829999923706055,28.940000534057617,28.574420928955078,31900,SPCX,28.336384,28.347326278686523,0.0,0.2270946502685547
2021-08-19,28.549999237060547,28.625,28.549999237060547,28.610000610351562,28.24859046936035,18300,SPCX,28.344002,28.485557556152344,0.2369670867919922,0.0
2021-08-23,28.520000457763672,28.6299991607666,28.520000457763672,28.6299991607666,28.268335342407227,26400,SPCX,28.33822,28.505306243896488,0.23697090148926137,0.0
2021-08-30,28.75,28.81999969482422,28.68000030517578,28.799999237060547,28.436189651489258,17300,SPCX,28.333084,28.505306243896488,0.0,-0.06911659240723012
2021-09-08,28.809999465942383,28.920000076293945,28.809999465942383,28.84000015258789,28.475685119628906,29000,SPCX,28.388477,28.465810775756836,0.0,0.009874343872070312
2021-09-20,28.649999618530273,28.940000534057617,28.649999618530273,28.8799991607666,28.515178680419922,41100,SPCX,28.262249,28.24859046936035,0.0,0.2665882110595703
2021-09-21,28.809999465942383,28.920000076293945,28.809999465942383,28.8700008392334,28.505306243896484,70900,SPCX,28.221647,28.30783081054687,0.0,0.19747543334961293
2021-09-28,28.790000915527344,28.899999618530273,28.790000915527344,28.799999237060547,28.436189651489258,16200,SPCX,28.232132,28.297958374023438,0.0,0.1382312774658203
2021-09-30,28.780000686645508,28.81999969482422,28.709999084472656,28.739999771118164,28.3769474029541,42300,SPCX,28.219934,28.505306243896488,0.0,-0.12835884094238637
2021-10-06,28.610000610351562,28.719999313354492,28.610000610351562,28.700000762939453,28.337453842163086,13000,SPCX,28.183233,28.436189651489258,0.0,-0.09873580932617188
2021-10-12,28.549999237060547,28.760000228881836,28.549999237060547,28.670000076293945,28.307830810546875,24900,SPCX,28.253963,28.525051116943363,0.0,-0.21722030639648793
2021-10-15,28.635000228881836,28.770000457763672,28.6299991607666,28.760000228881836,28.39669418334961,49400,SPCX,28.298044,28.58429527282715,0.0,-0.18760108947753906
2021-10-20,28.610000610351562,28.670000076293945,28.600000381469727,28.649999618530273,28.288084030151367,14700,SPCX,28.311827,28.525051116943363,0.23696708679199574,0.0
2021-10-21,28.760000228881836,28.899999618530273,28.639999389648438,28.8700008392334,28.505306243896484,62600,SPCX,28.313732,28.49543190002441,0.0,0.009874343872073865
2021-11-08,28.90999984741211,28.969999313354492,28.899999618530273,28.93000030517578,28.56454849243164,37300,SPCX,28.391605,28.297958374023438,0.0,0.2665901184082031
2021-11-29,28.579999923706055,28.829999923706055,28.579999923706055,28.736000061035156,28.372997283935547,39200,SPCX,28.144644,28.041242599487305,0.0,0.3317546844482422
2021-12-03,28.450000762939453,28.540000915527344,28.450000762939453,28.5049991607666,28.144914627075195,20500,SPCX,28.132803,28.010000228881836,0.0,0.13491439819335938
2021-12-07,28.450000762939453,28.579999923706055,28.450000762939453,28.530000686645508,28.169601440429688,17600,SPCX,28.104889,28.040000915527344,0.0,0.12960052490234375
2021-12-08,28.40999984741211,28.700000762939453,28.40999984741211,28.559999465942383,28.199220657348633,20400,SPCX,28.109947,28.010000228881836,0.0,0.18922042846679688
2021-12-27,27.90999984741211,28.097999572753906,27.899999618530273,28.010000228881836,28.010000228881836,13100,SPCX,28.045515,27.78499984741211,-0.22500038146972656,0.0
2021-12-28,27.90999984741211,28.0,27.90999984741211,27.989999771118164,27.989999771118164,91000,SPCX,27.990246,27.780000686645508,-0.20999908447265625,0.0
2022-01-03,27.940000534057617,28.059999465942383,27.899999618530273,28.020000457763672,28.020000457763672,13100,SPCX,27.837343,27.739999771118164,0.0,0.2800006866455078
2022-01-05,28.0,28.0,27.93000030517578,27.950000762939453,27.950000762939453,6100,SPCX,27.841404,27.690000534057617,0.0,0.26000022888183594
2022-01-11,27.81999969482422,27.900999069213867,27.799999237060547,27.84000015258789,27.84000015258789,22200,SPCX,27.811186,27.81399917602539,0.0,0.0260009765625
2022-01-28,27.59000015258789,27.75,27.209999084472656,27.702999114990234,27.702999114990234,33600,SPCX,27.59056,27.707000732421875,0.0,-0.004001617431640625
2022-02-04,27.700000762939453,27.784000396728516,27.700000762939453,27.738000869750977,27.738000869750977,7000,SPCX,27.602112,27.672000885009766,0.0,0.06599998474121094
2022-02-08,27.6299991607666,27.780000686645508,27.6299991607666,27.774999618530273,27.774999618530273,10700,SPCX,27.605268,27.649999618530273,0.0,0.125
2022-02-11,27.729999542236328,27.80900001525879,27.729999542236328,27.739999771118164,27.739999771118164,7100,SPCX,27.621622,27.59000015258789,0.0,0.14999961853027344
2022-02-16,27.704999923706055,27.790000915527344,27.704999923706055,27.735000610351562,27.735000610351562,1000,SPCX,27.6247,27.610000610351562,0.0,0.125
2022-02-25,27.639999389648438,27.68000030517578,27.610000610351562,27.68000030517578,27.68000030517578,8400,SPCX,27.503935,27.600000381469727,0.0,0.07999992370605469
2022-02-28,27.670000076293945,27.694000244140625,27.65999984741211,27.672000885009766,27.672000885009766,7500,SPCX,27.499022,27.68000030517578,0.0,-0.007999420166015625
2022-03-03,27.59000015258789,27.673999786376953,27.100000381469727,27.649999618530273,27.649999618530273,27200,SPCX,27.506811,27.71500015258789,0.0,-0.06500053405761719
